Filename, # of times changed, Code Churn
hibernate-core/src/main/java/org/hibernate/tool/schema/internal/SchemaMigratorImpl.java, 2, 1596
hibernate-core/src/main/java/org/hibernate/tool/schema/extract/internal/InformationExtractorJdbcDatabaseMetaDataImpl.java, 2, 1689
hibernate-core/src/main/java/org/hibernate/stat/internal/ConcurrentStatisticsImpl.java, 2, 1299
hibernate-core/src/main/java/org/hibernate/stat/internal/ConcurrentQueryStatisticsImpl.java, 2, 267
hibernate-core/src/main/java/org/hibernate/sql/Template.java, 2, 898
hibernate-core/src/main/java/org/hibernate/service/spi/SessionFactoryServiceRegistryFactory.java, 2, 147
hibernate-core/src/main/java/org/hibernate/resource/transaction/spi/SynchronizationRegistryImplementor.java, 2, 83
hibernate-core/src/main/java/org/hibernate/resource/transaction/backend/jta/internal/synchronization/ManagedFlushChecker.java, 2, 74
hibernate-core/src/main/java/org/hibernate/resource/transaction/backend/jta/internal/synchronization/AfterCompletionAction.java, 2, 74
hibernate-core/src/main/java/org/hibernate/resource/jdbc/spi/PhysicalConnectionHandlingMode.java, 2, 120
hibernate-core/src/main/java/org/hibernate/resource/jdbc/internal/LogicalConnectionManagedImpl.java, 2, 390
hibernate-core/src/main/java/org/hibernate/resource/jdbc/internal/AbstractLogicalConnectionImplementor.java, 2, 168
hibernate-core/src/main/java/org/hibernate/query/spi/ScrollableResultsImplementor.java, 2, 25
hibernate-core/src/main/java/org/hibernate/query/spi/QueryProducerImplementor.java, 2, 70
hibernate-core/src/main/java/org/hibernate/query/spi/QueryParameterListBinding.java, 2, 64
hibernate-core/src/main/java/org/hibernate/query/spi/QueryParameterBindings.java, 2, 172
hibernate-core/src/main/java/org/hibernate/query/spi/QueryParameterBindingTypeResolver.java, 2, 20
hibernate-core/src/main/java/org/hibernate/query/spi/NativeQueryImplementor.java, 2, 286
hibernate-core/src/main/java/org/hibernate/query/spi/NamedQueryRepository.java, 2, 202
hibernate-core/src/main/java/org/hibernate/query/spi/CloseableIterator.java, 2, 28
hibernate-core/src/main/java/org/hibernate/query/procedure/spi/StoredProcedureQueryImplementor.java, 2, 164
