File,post_release_bugs
hibernate-core/src/test/java/org/hibernate/test/converter/LongToDateConversionTest.java,2
hibernate-core/src/main/java/org/hibernate/internal/util/xml/BufferedXMLEventReader.java,1
hibernate-core/src/test/java/org/hibernate/persister/entity/CustomSqlSchemaResolvingTest.java,2
hibernate-core/src/main/java/org/hibernate/metamodel/internal/AttributeFactory.java,1
hibernate-core/src/test/java/org/hibernate/test/onetomany/inheritance/perclass/Library.java,2
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/BlobTypeDescriptor.java,2
hibernate-core/src/main/java/org/hibernate/engine/jdbc/env/spi/IdentifierHelper.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/path/CollectionAttributeJoin.java,1
hibernate-core/src/test/java/org/hibernate/test/inheritance/discriminator/joinedsubclass/JoinedSubclassWithRootInterfaceTest.java,1
hibernate-core/src/main/java/org/hibernate/proxy/pojo/javassist/JavassistLazyInitializer.java,1
hibernate-core/src/main/java/org/hibernate/resource/transaction/backend/jdbc/internal/JdbcResourceLocalTransactionCoordinatorBuilderImpl.java,1
hibernate-core/src/test/java/org/hibernate/test/lob/LobStringTest.java,4
hibernate-core/src/test/java/org/hibernate/test/hql/ASTParserLoadingTest.java,1
hibernate-core/src/main/java/org/hibernate/loader/plan/build/internal/AbstractLoadPlanBuildingAssociationVisitationStrategy.java,2
hibernate-core/src/test/java/org/hibernate/jpa/test/criteria/fetchscroll/PurchaseOrg.java,1
hibernate-core/src/main/java/org/hibernate/LockOptions.java,1
hibernate-core/src/test/java/org/hibernate/test/nationalized/NationalizedLobFieldTest.java,2
hibernate-testing/src/main/java/org/hibernate/testing/junit4/BaseUnitTestCase.java,4
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/ToOneIdMapper.java,2
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/mapped/MappedSuperclassTestTask.java,3
hibernate-core/src/test/resources/org/hibernate/query/hhh12076/Task.hbm.xml,1
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/ClobTypeDescriptor.java,4
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/compile/RenderingContext.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/expression/SizeOfPluralAttributeExpression.java,1
hibernate-core/src/main/java/org/hibernate/tuple/component/AbstractCompositionAttribute.java,1
hibernate-core/src/main/java/org/hibernate/dialect/PostgreSQL82Dialect.java,2
hibernate-core/src/test/java/org/hibernate/test/enums/InvalidEnumeratedJavaTypeTest.java,1
hibernate-envers/src/main/java/org/hibernate/envers/internal/EnversMessageLogger.java,1
hibernate-core/src/main/java/org/hibernate/tuple/component/PojoComponentTuplizer.java,1
hibernate-core/src/main/java/org/hibernate/procedure/internal/ProcedureCallImpl.java,2
hibernate-core/src/test/java/org/hibernate/test/flush/NonTransactionalDataAccessTest.java,1
