Filename,# of code changes,Code churn %
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/RegisterUserEventListenersTest.java,144145,11.74%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/OutsideTransactionTest.java,18791,69.53%
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/EmptyStringTest.java,144143,11.74%
hibernate-envers/src/test/java/org/hibernate/envers/test/entities/ids/CustomEnumUserType.java,18777,69.59%
hibernate-envers/src/test/java/org/hibernate/envers/test/entities/customtype/ParametrizedTestUserType.java,18771,69.61%
hibernate-envers/src/test/java/org/hibernate/envers/test/entities/customtype/CompositeTestUserType.java,18765,69.63%
hibernate-envers/src/test/java/org/hibernate/envers/test/entities/collection/EnumMapType.java,18263,70.99%
hibernate-envers/src/test/java/org/hibernate/envers/test/entities/collection/EnumMapEntity.java,18214,70.91%
hibernate-envers/src/test/java/org/hibernate/envers/test/BaseEnversJPAFunctionalTestCase.java,18752,69.68%
hibernate-envers/src/test/java/org/hibernate/envers/test/BaseEnversJPAFunctionalTestCase.java,144141,11.74%
hibernate-envers/src/test/java/org/hibernate/envers/test/AbstractOneSessionTest.java,144137,11.74%
hibernate-envers/src/main/java/org/hibernate/envers/tools/Pair.java,12687,78.48%
hibernate-envers/src/main/java/org/hibernate/envers/strategy/ValidityAuditStrategy.java,18709,69.85%
hibernate-envers/src/main/java/org/hibernate/envers/strategy/ValidityAuditStrategy.java,144135,11.74%
hibernate-envers/src/main/java/org/hibernate/envers/strategy/ValidityAuditStrategy.java,12685,78.49%
hibernate-envers/src/main/java/org/hibernate/envers/strategy/ValidTimeAuditStrategy.java,151473,12.31%
hibernate-envers/src/main/java/org/hibernate/envers/query/projection/internal/PropertyAuditProjection.java,9404,80.28%
hibernate-envers/src/main/java/org/hibernate/envers/query/projection/internal/EntityAuditProjection.java,9393,80.37%
hibernate-envers/src/main/java/org/hibernate/envers/query/projection/AuditProjection.java,9384,80.43%
hibernate-envers/src/main/java/org/hibernate/envers/query/order/internal/PropertyAuditOrder.java,9347,80.42%
hibernate-envers/src/main/java/org/hibernate/envers/query/order/AuditOrder.java,9338,80.49%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/property/PropertyNameGetter.java,12673,78.57%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/RevisionsOfEntityQuery.java,9306,80.49%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/RevisionsOfEntityQuery.java,18697,69.90%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/EntitiesModifiedAtRevisionQuery.java,9304,80.50%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/EntitiesModifiedAtRevisionQuery.java,12671,78.58%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/EntitiesAtRevisionQuery.java,9301,80.54%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/EntitiesAtRevisionQuery.java,12669,78.59%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/AuditAssociationQueryImpl.java,9299,80.56%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/AuditAssociationQueryImpl.java,12663,78.63%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/AbstractAuditQuery.java,9069,82.62%
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/AbstractAuditQuery.java,12655,78.68%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/SimpleAuditExpression.java,9013,82.76%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/SimpleAuditExpression.java,17495,70.33%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/RevisionTypeAuditExpression.java,8999,82.86%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/RelatedAuditInExpression.java,8989,82.96%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/RelatedAuditInExpression.java,16555,69.75%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/RelatedAuditEqualityExpression.java,8978,83.03%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/PropertyAuditExpression.java,8969,83.10%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/NullAuditExpression.java,8935,83.14%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/NotNullAuditExpression.java,8922,83.25%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/NotAuditExpression.java,8909,83.37%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/LogicalAuditExpression.java,8903,83.40%
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/InAuditExpression.java,8895,83.45%
